issuerId,ISSUER_NAME,ISSUER_TICKER,ISSUER_CNTRY_DOMICILE_NAME,ISSUER_CNTRY_DOMICILE,IVA_INDUSTRY,IVA_INDUSTRY_CODE,GICS_SUB_IND,IVA_COMPANY_RATING,INDUSTRY_ADJUSTED_SCORE,AGR_RATING,GOVERNANCE_SCORE,OVERALL_FLAG,ABORT_TIE,CONTRA_TIE,AE_TIE,ALC_TIE,FIREARM_TIE,GAM_TIE,NUC_TIE,TOB_TIE,WEAP_GTIE,CB_TIE,LM_TIE
IID000000002183140,Semperit Aktiengesellschaft Holding,SEM,Austria,AT,Industrial Machinery,12924,Industrial Machinery & Supplies & Components,AA,7.8,Above-Average Variance,8.9,Green,,,,,,,,,,,
IID000000002184753,Stadlauer Malzfabrik Aktiengesellschaft,STM,Austria,AT,Real Estate Management & Services,15699,Real Estate Operating Companies,,,,,,,,,true,,,,,,,
IID000000002770093,Suzano Austria GmbH,,Austria,AT,,,,,,,,,,,,,,,,true,,,
IID000000002186453,Telekom Austria Aktiengesellschaft,TKA,Austria,AT,Telecommunication Services,15705,Integrated Telecommunication Services,A,6.0,Average Variance,6.6,Green,,,true,,,,,,,,
IID000000002246233,Telekom Finanzmanagement GmbH,,Austria,AT,Telecommunication Services,15705,,,,,,,,,true,,,,,,,,
IID000000002925599,Themis Bioscience BV,,Austria,AT,,,Biotechnology,,,,,,,,,,,,,,,,
IID000000002187705,UBM Development AG,UBS,Austria,AT,Real Estate Development & Diversified Activities,13198,Diversified Real Estate Activities,,,High Variance,,,,,,,,,,,,,
IID000000002129039,UNIQA Insurance Group AG,UQA,Austria,AT,Multi-Line Insurance & Brokerage,15581,Multi-line Insurance,BBB,4.8,Average Variance,8.3,Green,,,,,,,,,,,
IID000000002144506,VERBUND AG,VER,Austria,AT,Utilities,15700,Electric Utilities,AAA,10.0,Low Variance,7.6,Green,,,,,,,,,,,
IID000000002152492,VIENNA INSURANCE GROUP AG Wiener Versicherung Gruppe,VIG,Austria,AT,Multi-Line Insurance & Brokerage,15581,Multi-line Insurance,BBB,4.7,Above-Average Variance,6.7,Green,,,,,,,,,,,
IID000000002260427,VOLKSBANK WIEN AG,VOKNK,Austria,AT,Banks,15698,,,,,,Green,,,,,,,,,,,
IID000000002189278,Warimpex Finanz- und Beteiligungs Aktiengesellschaft,WXF,Austria,AT,Hotels & Travel,15691,"Hotels, Resorts & Cruise Lines",,,Average Variance,,,,,,true,,,,true,,,
IID000000002189567,Wienerberger AG,WIE,Austria,AT,Construction Materials,12901,Construction Materials,AAA,10.0,Above-Average Variance,9.1,Green,,,,,,,,,,,
IID000000002189705,Wolford Aktiengesellschaft,WOL,Austria,AT,"Textiles, Apparel & Luxury Goods",13201,"Apparel, Accessories & Luxury Goods",,,Above-Average Variance,,,,,,,,,,,,,
IID000000002190567,Zumtobel Group AG,ZAG,Austria,AT,Electrical Equipment,12910,Electrical Components & Equipment,,,Average Variance,,,,,,,,,,,,,
IID000000002190597,ams-OSRAM AG,AMS,Austria,AT,Semiconductors & Semiconductor Equipment,12943,Semiconductors,BBB,4.4,Above-Average Variance,7.5,Green,,,,,,,,,,,
IID000000002137304,voestalpine AG,VOE,Austria,AT,Steel,12947,Steel,A,7.0,Average Variance,7.3,Green,,,,,,,,,,,
